Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,tuning[ns],optimumPerformance[ns]
2026-02-24 23:39:46,20,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,92553072,71177120
2026-02-25 00:07:40,5020,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,92550445,98036084
2026-02-25 00:35:58,10020,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,92138949,98629495
2026-02-25 01:04:18,15020,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,92385731,98407920
2026-02-25 01:32:41,20020,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,92863321,98220442
2026-02-25 02:01:07,25020,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,92740141,98152163
2026-02-25 02:29:32,30020,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,92884412,96802767
2026-02-25 02:57:51,35020,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,92884653,96742580
2026-02-25 03:26:08,40020,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,92819132,96591779
2026-02-25 03:54:25,45020,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,92842002,96461250
2026-02-25 04:22:43,50020,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,93055898,96634545
2026-02-25 04:51:02,55020,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,92972180,96382955
2026-02-25 05:19:21,60020,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,93010044,96500591
2026-02-25 05:47:39,65020,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,92995339,96348956
2026-02-25 06:15:56,70020,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,93186708,96276929
2026-02-25 06:44:12,75020,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,92910235,96668387
2026-02-25 07:12:29,80020,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,92803672,96275130
2026-02-25 07:40:46,85020,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,93037975,96405972
2026-02-25 08:09:03,90020,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,93028188,96070510
2026-02-25 08:37:21,95020,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,92915454,96571275
